start	accuracy_gabor	delta	orientation	pressed_gabor	expected_gabor	rt_gabor	trial	participant	response condition	date	expName	
0.0165	1	0.0165	90	x	x	1.1073032568829149	0	7	1	2021_Jun_08_1029	Motor	
0.025	1	0.025	0	n	n	0.6318654270316983	1	7	1	2021_Jun_08_1029	Motor	
0.0165	1	0.01485	0	n	n	0.5425983638788239	2	7	1	2021_Jun_08_1029	Motor	
0.0165	1	0.0132	0	n	n	0.6594143017764509	3	7	1	2021_Jun_08_1029	Motor	
0.025	1	0.023350000000000003	0	n	n	0.5712439252165495	4	7	1	2021_Jun_08_1029	Motor	
0.0165	1	0.01155	90	x	x	0.6871881969482274	5	7	1	2021_Jun_08_1029	Motor	
0.025	1	0.021700000000000004	90	x	x	0.8368705571901955	6	7	1	2021_Jun_08_1029	Motor	
0.0165	1	0.009899999999999999	0	n	n	0.613783154034536	7	7	1	2021_Jun_08_1029	Motor	
0.025	1	0.020050000000000005	0	n	n	0.7034672345680519	8	7	1	2021_Jun_08_1029	Motor	
0.0165	1	0.008249999999999999	0	n	n	0.5493171052385151	9	7	1	2021_Jun_08_1029	Motor	
0.025	1	0.018400000000000007	90	x	x	0.41807221235740144	10	7	1	2021_Jun_08_1029	Motor	
0.025	1	0.016750000000000008	0	n	n	0.4687156325453543	11	7	1	2021_Jun_08_1029	Motor	
0.025	1	0.015100000000000008	0	n	n	0.5754885938449661	12	7	1	2021_Jun_08_1029	Motor	
0.0165	1	0.006599999999999998	0	n	n	0.7593809711052018	13	7	1	2021_Jun_08_1029	Motor	
0.0165	1	0.004949999999999998	90	x	x	0.9231724194069102	14	7	1	2021_Jun_08_1029	Motor	
0.025	1	0.013450000000000007	0	n	n	0.488991662724402	15	7	1	2021_Jun_08_1029	Motor	
0.0165	1	0.003299999999999998	0	n	n	0.4718574706785148	16	7	1	2021_Jun_08_1029	Motor	
0.025	1	0.011800000000000007	0	n	n	0.4557923176644181	17	7	1	2021_Jun_08_1029	Motor	
0.0165	0	0.0016499999999999978	90	n	x	0.6635637399167535	18	7	1	2021_Jun_08_1029	Motor	
0.025	0	0.010150000000000006	90	n	x	0.6715293094866865	19	7	1	2021_Jun_08_1029	Motor	
