start,accuracy_gabor,delta,orientation,pressed_gabor,expected_gabor,rt_gabor,trial,participant,response condition,date,expName,
0.025,0,0.025,0,n,x,0.593839662577011,0,8,2,2021_Jun_08_1131,Motor,
0.0165,0,0.0165,90,x,n,0.6726021884569491,1,8,2,2021_Jun_08_1131,Motor,
0.025,1,0.02665,90,n,n,0.6244746963384387,2,8,2,2021_Jun_08_1131,Motor,
0.025,1,0.025,90,n,n,0.49730359479872277,3,8,2,2021_Jun_08_1131,Motor,
0.0165,1,0.01815,0,x,x,0.4911612282903661,4,8,2,2021_Jun_08_1131,Motor,
0.0165,1,0.0165,0,x,x,0.7060019783366442,5,8,2,2021_Jun_08_1131,Motor,
0.025,1,0.025,0,x,x,0.7837442324107542,6,8,2,2021_Jun_08_1131,Motor,
0.0165,0,0.0165,0,n,x,0.6676640268360643,7,8,2,2021_Jun_08_1131,Motor,
0.025,1,0.025,0,x,x,0.5222973740965244,8,8,2,2021_Jun_08_1131,Motor,
0.025,1,0.023350000000000003,0,x,x,0.5682322610173287,9,8,2,2021_Jun_08_1131,Motor,
0.0165,1,0.01815,0,x,x,0.5151554714539088,10,8,2,2021_Jun_08_1131,Motor,
0.025,1,0.023350000000000003,0,x,x,0.6688954952915083,11,8,2,2021_Jun_08_1131,Motor,
0.0165,1,0.01815,90,n,n,0.608810432961036,12,8,2,2021_Jun_08_1131,Motor,
0.0165,1,0.01815,90,n,n,0.5384685094286397,13,8,2,2021_Jun_08_1131,Motor,
0.025,1,0.023350000000000003,0,x,x,0.5463319366190262,14,8,2,2021_Jun_08_1131,Motor,
0.025,1,0.021700000000000004,0,x,x,0.7123732052132254,15,8,2,2021_Jun_08_1131,Motor,
0.0165,1,0.0165,0,x,x,0.8970773455876042,16,8,2,2021_Jun_08_1131,Motor,
0.025,1,0.021700000000000004,90,n,n,0.5879269244233001,17,8,2,2021_Jun_08_1131,Motor,
0.0165,1,0.0165,0,x,x,0.8616262602681672,18,8,2,2021_Jun_08_1131,Motor,
0.025,1,0.021700000000000004,90,n,n,0.6024134784947819,19,8,2,2021_Jun_08_1131,Motor,
0.0165,1,0.0165,0,x,x,1.0762416058933013,20,8,2,2021_Jun_08_1131,Motor,
0.0165,1,0.01485,90,n,n,0.5962284886627458,21,8,2,2021_Jun_08_1131,Motor,
0.025,1,0.020050000000000005,0,x,x,0.7020261054422008,22,8,2,2021_Jun_08_1131,Motor,
0.025,0,0.020050000000000005,0,n,x,0.5888243181798316,23,8,2,2021_Jun_08_1131,Motor,
0.0165,1,0.01485,90,n,n,0.8746052542664984,24,8,2,2021_Jun_08_1131,Motor,
0.025,1,0.021700000000000004,0,x,x,0.5063305235216831,25,8,2,2021_Jun_08_1131,Motor,
0.0165,1,0.01485,90,n,n,0.848169577853696,26,8,2,2021_Jun_08_1131,Motor,
0.025,1,0.021700000000000004,90,n,n,0.5520864692825853,27,8,2,2021_Jun_08_1131,Motor,
0.0165,1,0.0132,90,n,n,0.6050219490916788,28,8,2,2021_Jun_08_1131,Motor,
0.0165,0,0.0132,0,n,x,0.8786314303615654,29,8,2,2021_Jun_08_1131,Motor,
0.025,1,0.021700000000000004,0,x,x,0.6694530544409645,30,8,2,2021_Jun_08_1131,Motor,
0.025,1,0.020050000000000005,0,x,x,0.8293389007340011,31,8,2,2021_Jun_08_1131,Motor,
0.0165,1,0.01485,0,x,x,0.6541520492974087,32,8,2,2021_Jun_08_1131,Motor,
