start,accuracy_gabor,delta,orientation,pressed_gabor,expected_gabor,rt_gabor,trial,participant,response condition,date,expName,
0.04,1,0.04,0,x,x,0.2955908283820463,0,8,2,2021_Jun_08_1126,Motor,
0.035,0,0.035,0,n,x,0.9051139540297299,1,8,2,2021_Jun_08_1126,Motor,
0.035,0,0.03665,90,x,n,0.6900961827923311,2,8,2,2021_Jun_08_1126,Motor,
0.035,1,0.0383,0,x,x,0.6256742932982888,3,8,2,2021_Jun_08_1126,Motor,
0.04,1,0.03835,0,x,x,0.3504708533273515,4,8,2,2021_Jun_08_1126,Motor,
0.035,1,0.03665,90,n,n,0.4621397369191982,5,8,2,2021_Jun_08_1126,Motor,
0.04,0,0.0367,90,x,n,0.5051355344876356,6,8,2,2021_Jun_08_1126,Motor,
0.035,1,0.03665,90,n,n,0.5628098830802628,7,8,2,2021_Jun_08_1126,Motor,
0.04,1,0.03835,0,x,x,0.4747212972233683,8,8,2,2021_Jun_08_1126,Motor,
0.035,1,0.03665,0,x,x,0.30959547010024835,9,8,2,2021_Jun_08_1126,Motor,
0.04,1,0.03835,90,n,n,0.26626214188763697,10,8,2,2021_Jun_08_1126,Motor,
0.04,0,0.03835,90,x,n,0.5492875377076416,11,8,2,2021_Jun_08_1126,Motor,
0.035,0,0.035,90,x,n,0.3416900646952854,12,8,2,2021_Jun_08_1126,Motor,
0.04,1,0.04,90,n,n,0.6104366471499816,13,8,2,2021_Jun_08_1126,Motor,
0.04,1,0.04,0,x,x,0.5232020637358801,14,8,2,2021_Jun_08_1126,Motor,
0.035,0,0.03665,0,n,x,0.4840999643656687,15,8,2,2021_Jun_08_1126,Motor,
0.04,1,0.04,0,x,x,0.9537790376198245,16,8,2,2021_Jun_08_1126,Motor,
0.035,1,0.0383,0,x,x,0.36273945859829837,17,8,2,2021_Jun_08_1126,Motor,
0.04,1,0.03835,0,x,x,0.4574120039560512,18,8,2,2021_Jun_08_1126,Motor,
0.035,1,0.0383,90,n,n,0.3241880064870202,19,8,2,2021_Jun_08_1126,Motor,
0.035,1,0.0383,0,x,x,0.29314248324226355,20,8,2,2021_Jun_08_1126,Motor,
0.04,1,0.03835,0,x,x,0.47194847723403655,21,8,2,2021_Jun_08_1126,Motor,
0.04,1,0.03835,90,n,n,0.3426834569290804,22,8,2,2021_Jun_08_1126,Motor,
0.035,0,0.03665,90,x,n,0.27956061881377536,23,8,2,2021_Jun_08_1126,Motor,
0.04,1,0.0367,0,x,x,0.497192620559872,24,8,2,2021_Jun_08_1126,Motor,
0.035,1,0.0383,0,x,x,0.3313487248324236,25,8,2,2021_Jun_08_1126,Motor,
0.035,1,0.0383,90,n,n,0.324855771888906,26,8,2,2021_Jun_08_1126,Motor,
0.04,1,0.0367,90,n,n,0.33638787685231364,27,8,2,2021_Jun_08_1126,Motor,
0.035,0,0.0383,0,n,x,0.34524469627467624,28,8,2,2021_Jun_08_1126,Motor,
0.04,1,0.0367,0,x,x,0.3982838544397964,29,8,2,2021_Jun_08_1126,Motor,
0.035,1,0.03995,90,n,n,0.45959808125917334,30,8,2,2021_Jun_08_1126,Motor,
0.04,1,0.035050000000000005,90,n,n,0.35148229327387526,31,8,2,2021_Jun_08_1126,Motor,
0.035,1,0.03995,0,x,x,0.3872344298160897,32,8,2,2021_Jun_08_1126,Motor,
0.04,1,0.035050000000000005,0,x,x,0.5170278257337486,33,8,2,2021_Jun_08_1126,Motor,
0.04,0,0.035050000000000005,90,x,n,0.5819154998371232,34,8,2,2021_Jun_08_1126,Motor,
0.035,1,0.03995,90,n,n,0.5835989291172154,35,8,2,2021_Jun_08_1126,Motor,
0.04,1,0.0367,0,x,x,0.5145863924844889,36,8,2,2021_Jun_08_1126,Motor,
0.035,1,0.0383,90,n,n,0.4910828935317113,37,8,2,2021_Jun_08_1126,Motor,
0.04,1,0.0367,0,x,x,0.6210314229901996,38,8,2,2021_Jun_08_1126,Motor,
0.035,1,0.0383,90,n,n,0.473745952704121,39,8,2,2021_Jun_08_1126,Motor,
0.035,1,0.0383,90,n,n,0.464727471846345,40,8,2,2021_Jun_08_1126,Motor,
0.04,1,0.0367,90,n,n,0.41141452602823847,41,8,2,2021_Jun_08_1126,Motor,
0.04,1,0.035050000000000005,0,x,x,0.4451491585932672,42,8,2,2021_Jun_08_1126,Motor,
0.035,1,0.03665,90,n,n,0.573067896266366,43,8,2,2021_Jun_08_1126,Motor,
0.035,1,0.03665,90,n,n,1.2638314604664629,44,8,2,2021_Jun_08_1126,Motor,
0.04,1,0.035050000000000005,0,x,x,0.47458920332064736,45,8,2,2021_Jun_08_1126,Motor,
0.035,1,0.03665,0,x,x,0.365266522489037,46,8,2,2021_Jun_08_1126,Motor,
0.04,0,0.035050000000000005,90,x,n,0.3122296682904562,47,8,2,2021_Jun_08_1126,Motor,
0.035,0,0.035,90,x,n,0.4488631476433511,48,8,2,2021_Jun_08_1126,Motor,
0.04,1,0.0367,0,x,x,0.49287153714249143,49,8,2,2021_Jun_08_1126,Motor,
0.04,1,0.0367,90,n,n,0.43857364695941214,50,8,2,2021_Jun_08_1126,Motor,
0.035,1,0.03665,0,x,x,0.49837148184815305,51,8,2,2021_Jun_08_1126,Motor,
0.04,1,0.0367,0,x,x,0.7202381683782733,52,8,2,2021_Jun_08_1126,Motor,
0.035,0,0.03665,0,n,x,0.48130333675362635,53,8,2,2021_Jun_08_1126,Motor,
