start	accuracy_gabor	delta	orientation	pressed_gabor	expected_gabor	rt_gabor	trial	participant	response condition	date	expName	
0.025	1	0.025	90	x	x	0.523720748416963	0	9	1	2021_Jun_09_1130	Motor	
0.0165	1	0.0165	0	n	n	0.8475454051849738	1	9	1	2021_Jun_09_1130	Motor	
0.0165	0	0.01485	0	x	n	0.6793148653459866	2	9	1	2021_Jun_09_1130	Motor	
0.025	1	0.023350000000000003	0	n	n	0.5101919270973667	3	9	1	2021_Jun_09_1130	Motor	
0.0165	1	0.0165	0	n	n	0.6880119099096191	4	9	1	2021_Jun_09_1130	Motor	
0.025	1	0.021700000000000004	90	x	x	0.4068092609759333	5	9	1	2021_Jun_09_1130	Motor	
0.0165	1	0.0165	90	x	x	0.42464878132250305	6	9	1	2021_Jun_09_1130	Motor	
0.025	0	0.020050000000000005	0	x	n	0.5344479609611881	7	9	1	2021_Jun_09_1130	Motor	
0.025	1	0.021700000000000004	90	x	x	0.42730332099745283	8	9	1	2021_Jun_09_1130	Motor	
0.0165	1	0.0165	90	x	x	0.4201453180958197	9	9	1	2021_Jun_09_1130	Motor	
0.0165	1	0.01485	90	x	x	0.3900998303515735	10	9	1	2021_Jun_09_1130	Motor	
0.025	1	0.021700000000000004	90	x	x	0.456858450405889	11	9	1	2021_Jun_09_1130	Motor	
0.025	1	0.021700000000000004	0	n	n	0.4665108681383572	12	9	1	2021_Jun_09_1130	Motor	
0.025	1	0.020050000000000005	0	n	n	0.7371694689154538	13	9	1	2021_Jun_09_1130	Motor	
0.0165	1	0.01485	90	x	x	0.4621421862530042	14	9	1	2021_Jun_09_1130	Motor	
0.0165	1	0.01485	90	x	x	0.35006093959873397	15	9	1	2021_Jun_09_1130	Motor	
0.025	1	0.020050000000000005	90	x	x	0.37773834602103307	16	9	1	2021_Jun_09_1130	Motor	
0.0165	1	0.0132	0	n	n	0.5935893231671798	17	9	1	2021_Jun_09_1130	Motor	
0.025	1	0.020050000000000005	90	x	x	0.46439468585231225	18	9	1	2021_Jun_09_1130	Motor	
0.025	1	0.018400000000000007	90	x	x	0.34719750804288196	19	9	1	2021_Jun_09_1130	Motor	
0.0165	0	0.0132	0	x	n	0.7641564569485126	20	9	1	2021_Jun_09_1130	Motor	
0.025	1	0.018400000000000007	90	x	x	0.42700764682558656	21	9	1	2021_Jun_09_1130	Motor	
0.0165	1	0.01485	0	n	n	0.48072396396855765	22	9	1	2021_Jun_09_1130	Motor	
0.0165	1	0.01485	90	x	x	0.39569383208254294	23	9	1	2021_Jun_09_1130	Motor	
