start	accuracy_gabor	delta	orientation	pressed_gabor	expected_gabor	rt_gabor	trial	participant	response condition	date	expName	
0.0165	1	0.0165	90	x	x	0.6144086247768428	0	9	1	2021_Jun_09_1137	Motor	
0.025	1	0.025	90	x	x	0.8651499221650738	1	9	1	2021_Jun_09_1137	Motor	
0.025	1	0.023350000000000003	0	n	n	0.48919253303665755	2	9	1	2021_Jun_09_1137	Motor	
0.0165	1	0.01485	90	x	x	0.38786384242757777	3	9	1	2021_Jun_09_1137	Motor	
0.025	1	0.021700000000000004	0	n	n	0.4467437057883217	4	9	1	2021_Jun_09_1137	Motor	
0.0165	1	0.0132	0	n	n	0.6853923135467994	5	9	1	2021_Jun_09_1137	Motor	
0.025	1	0.020050000000000005	0	n	n	0.5973144337376652	6	9	1	2021_Jun_09_1137	Motor	
0.0165	0	0.01155	90	n	x	0.5112336985612274	7	9	1	2021_Jun_09_1137	Motor	
0.025	1	0.018400000000000007	90	x	x	0.4929859942594703	8	9	1	2021_Jun_09_1137	Motor	
0.0165	0	0.0132	0	x	n	0.5118772698751854	9	9	1	2021_Jun_09_1137	Motor	
0.0165	0	0.01485	90	n	x	0.6386857782263178	10	9	1	2021_Jun_09_1137	Motor	
0.025	1	0.016750000000000008	90	x	x	0.5345067118041698	11	9	1	2021_Jun_09_1137	Motor	
0.025	0	0.015100000000000008	0	x	n	0.6231525164175764	12	9	1	2021_Jun_09_1137	Motor	
0.0165	1	0.0165	90	x	x	0.5011439134505054	13	9	1	2021_Jun_09_1137	Motor	
0.0165	0	0.0165	90	n	x	0.6590454408960795	14	9	1	2021_Jun_09_1137	Motor	
0.025	1	0.016750000000000008	0	n	n	0.40280498790798447	15	9	1	2021_Jun_09_1137	Motor	
0.025	1	0.016750000000000008	90	x	x	0.7255801933633848	16	9	1	2021_Jun_09_1137	Motor	
0.0165	1	0.01815	0	n	n	0.4355288228562131	17	9	1	2021_Jun_09_1137	Motor	
0.0165	1	0.01815	90	x	x	0.6392656067964708	18	9	1	2021_Jun_09_1137	Motor	
0.025	0	0.016750000000000008	90	n	x	0.4562114231603118	19	9	1	2021_Jun_09_1137	Motor	
0.0165	1	0.01815	90	x	x	0.7600673215529241	20	9	1	2021_Jun_09_1137	Motor	
0.025	1	0.018400000000000007	90	x	x	0.4207873534405735	21	9	1	2021_Jun_09_1137	Motor	
0.025	0	0.018400000000000007	0	x	n	0.717663037426064	22	9	1	2021_Jun_09_1137	Motor	
0.0165	0	0.0165	0	x	n	0.45146796466360684	23	9	1	2021_Jun_09_1137	Motor	
0.025	0	0.020050000000000005	90	n	x	0.48307591760749347	24	9	1	2021_Jun_09_1137	Motor	
0.0165	0	0.01815	90	n	x	0.7421698183479748	25	9	1	2021_Jun_09_1137	Motor	
0.0165	1	0.019799999999999998	0	n	n	0.42300337375672825	26	9	1	2021_Jun_09_1137	Motor	
0.025	1	0.021700000000000004	0	n	n	0.4247885545673853	27	9	1	2021_Jun_09_1137	Motor	
0.0165	0	0.019799999999999998	90	n	x	0.381625117405747	28	9	1	2021_Jun_09_1137	Motor	
0.025	0	0.021700000000000004	90	n	x	0.7324605697367588	29	9	1	2021_Jun_09_1137	Motor	
0.025	1	0.023350000000000003	90	x	x	0.4211686579237721	30	9	1	2021_Jun_09_1137	Motor	
0.0165	1	0.021449999999999997	90	x	x	0.5031468179695366	31	9	1	2021_Jun_09_1137	Motor	
0.0165	1	0.021449999999999997	0	n	n	0.5690214874484809	32	9	1	2021_Jun_09_1137	Motor	
0.025	0	0.023350000000000003	90	n	x	0.6117145338830596	33	9	1	2021_Jun_09_1137	Motor	
0.0165	1	0.021449999999999997	0	n	n	0.4625522901687873	34	9	1	2021_Jun_09_1137	Motor	
0.025	1	0.025	0	n	n	0.43036988454878156	35	9	1	2021_Jun_09_1137	Motor	
0.0165	1	0.019799999999999998	90	x	x	0.43519474944150716	36	9	1	2021_Jun_09_1137	Motor	
0.025	0	0.025	90	n	x	0.7400739876620719	37	9	1	2021_Jun_09_1137	Motor	
0.0165	1	0.019799999999999998	90	x	x	0.6969335900448641	38	9	1	2021_Jun_09_1137	Motor	
0.025	1	0.02665	0	n	n	0.6305770100661903	39	9	1	2021_Jun_09_1137	Motor	
0.0165	1	0.019799999999999998	0	n	n	0.5876915834242027	40	9	1	2021_Jun_09_1137	Motor	
0.025	1	0.02665	0	n	n	0.48669082235028327	41	9	1	2021_Jun_09_1137	Motor	
0.0165	1	0.01815	0	n	n	0.48543055919253675	42	9	1	2021_Jun_09_1137	Motor	
0.025	1	0.02665	90	x	x	0.6840441161230046	43	9	1	2021_Jun_09_1137	Motor	
0.0165	1	0.01815	0	n	n	0.46596559888621414	44	9	1	2021_Jun_09_1137	Motor	
0.025	1	0.025	0	n	n	0.5058255491667296	45	9	1	2021_Jun_09_1137	Motor	
0.025	1	0.025	0	n	n	0.5246331144326177	46	9	1	2021_Jun_09_1137	Motor	
0.0165	1	0.01815	90	x	x	0.534669524594392	47	9	1	2021_Jun_09_1137	Motor	
0.0165	1	0.0165	90	x	x	0.6102841620786421	48	9	1	2021_Jun_09_1137	Motor	
0.025	1	0.025	90	x	x	0.6603179918110982	49	9	1	2021_Jun_09_1137	Motor	
0.025	1	0.023350000000000003	90	x	x	0.6759399558713994	50	9	1	2021_Jun_09_1137	Motor	
0.0165	0	0.0165	90	n	x	0.6037881621277847	51	9	1	2021_Jun_09_1137	Motor	
0.025	1	0.023350000000000003	90	x	x	0.789528756808977	52	9	1	2021_Jun_09_1137	Motor	
0.0165	1	0.01815	0	n	n	0.6483892669502893	53	9	1	2021_Jun_09_1137	Motor	
0.025	1	0.023350000000000003	90	x	x	0.5371113324608814	54	9	1	2021_Jun_09_1137	Motor	
0.0165	1	0.01815	0	n	n	0.5131329251244097	55	9	1	2021_Jun_09_1137	Motor	
0.0165	1	0.01815	0	n	n	0.45192376367958786	56	9	1	2021_Jun_09_1137	Motor	
0.025	1	0.021700000000000004	0	n	n	0.4867411253590035	57	9	1	2021_Jun_09_1137	Motor	
