start	accuracy_gabor	delta	orientation	pressed_gabor	expected_gabor	rt_gabor	trial	participant	response condition	date	expName	
0.025	1	0.025	0	n	n	0.7696731317382728	0	9	1	2021_Jun_16_1027	Motor	
0.0165	1	0.0165	0	n	n	0.9194754317932166	1	9	1	2021_Jun_16_1027	Motor	
0.025	1	0.023350000000000003	0	n	n	0.7023798872514817	2	9	1	2021_Jun_16_1027	Motor	
0.0165	1	0.01485	90	x	x	0.6431470866855307	3	9	1	2021_Jun_16_1027	Motor	
0.025	1	0.021700000000000004	0	n	n	0.857675239103628	4	9	1	2021_Jun_16_1027	Motor	
0.0165	0	0.0132	90	n	x	0.9012867296232798	5	9	1	2021_Jun_16_1027	Motor	
0.025	1	0.020050000000000005	0	n	n	0.6752018566940023	6	9	1	2021_Jun_16_1027	Motor	
0.0165	1	0.01485	0	n	n	0.6190867134191649	7	9	1	2021_Jun_16_1027	Motor	
0.025	1	0.018400000000000007	90	x	x	0.5688409372705792	8	9	1	2021_Jun_16_1027	Motor	
0.025	1	0.016750000000000008	90	x	x	0.9088333879244601	9	9	1	2021_Jun_16_1027	Motor	
0.0165	1	0.01485	90	x	x	0.8146201576764724	10	9	1	2021_Jun_16_1027	Motor	
0.0165	1	0.01485	0	n	n	0.5674086350536527	11	9	1	2021_Jun_16_1027	Motor	
0.025	1	0.015100000000000008	0	n	n	0.8192142766356483	12	9	1	2021_Jun_16_1027	Motor	
0.0165	1	0.0132	90	x	x	1.1161673896658613	13	9	1	2021_Jun_16_1027	Motor	
0.025	1	0.013450000000000007	0	n	n	0.805815530993641	14	9	1	2021_Jun_16_1027	Motor	
0.0165	1	0.0132	90	x	x	0.6876671099253144	15	9	1	2021_Jun_16_1027	Motor	
0.025	1	0.011800000000000007	90	x	x	0.7864852109996718	16	9	1	2021_Jun_16_1027	Motor	
0.0165	1	0.0132	90	x	x	0.7224947095064636	17	9	1	2021_Jun_16_1027	Motor	
0.025	1	0.010150000000000006	90	x	x	0.8793218183400313	18	9	1	2021_Jun_16_1027	Motor	
0.0165	1	0.01155	0	n	n	0.7755828183644553	19	9	1	2021_Jun_16_1027	Motor	
0.025	1	0.008500000000000006	0	n	n	0.710457610958656	20	9	1	2021_Jun_16_1027	Motor	
0.0165	1	0.01155	0	n	n	0.6402913141428144	21	9	1	2021_Jun_16_1027	Motor	
0.025	1	0.006850000000000005	0	n	n	0.6411499274827293	22	9	1	2021_Jun_16_1027	Motor	
0.0165	1	0.01155	0	n	n	0.8019291152477308	23	9	1	2021_Jun_16_1027	Motor	
0.025	1	0.005200000000000005	0	n	n	0.6127722958190134	24	9	1	2021_Jun_16_1027	Motor	
0.0165	1	0.009899999999999999	0	n	n	0.6427504196108202	25	9	1	2021_Jun_16_1027	Motor	
0.025	0	0.003550000000000005	90	n	x	0.9185066118225222	26	9	1	2021_Jun_16_1027	Motor	
0.0165	1	0.009899999999999999	0	n	n	0.7362290669798313	27	9	1	2021_Jun_16_1027	Motor	
0.025	0	0.005200000000000005	0	x	n	0.8370489352000732	28	9	1	2021_Jun_16_1027	Motor	
0.0165	1	0.009899999999999999	90	x	x	0.7497756507855229	29	9	1	2021_Jun_16_1027	Motor	
0.0165	0	0.008249999999999999	0	x	n	0.8136006503345925	30	9	1	2021_Jun_16_1027	Motor	
0.025	0	0.006850000000000005	0	x	n	0.8994984638266033	31	9	1	2021_Jun_16_1027	Motor	
0.025	0	0.008500000000000006	0	x	n	0.8972901072456807	32	9	1	2021_Jun_16_1027	Motor	
0.0165	1	0.009899999999999999	90	x	x	0.9431617937034389	33	9	1	2021_Jun_16_1027	Motor	
0.025	1	0.010150000000000006	90	x	x	1.0358828184789672	34	9	1	2021_Jun_16_1027	Motor	
0.0165	0	0.009899999999999999	90	n	x	1.1006578222322787	35	9	1	2021_Jun_16_1027	Motor	
0.025	1	0.010150000000000006	90	x	x	0.8184693258845073	36	9	1	2021_Jun_16_1027	Motor	
0.0165	1	0.01155	90	x	x	0.8363254881824105	37	9	1	2021_Jun_16_1027	Motor	
0.0165	0	0.01155	0	x	n	1.0303505991669226	38	9	1	2021_Jun_16_1027	Motor	
0.025	1	0.010150000000000006	0	n	n	0.7559453021831359	39	9	1	2021_Jun_16_1027	Motor	
0.025	1	0.008500000000000006	90	x	x	0.959691252473931	40	9	1	2021_Jun_16_1027	Motor	
0.0165	0	0.0132	90	n	x	0.992578140149817	41	9	1	2021_Jun_16_1027	Motor	
0.0165	1	0.01485	0	n	n	0.9154492417819711	42	9	1	2021_Jun_16_1027	Motor	
0.025	1	0.008500000000000006	0	n	n	0.8373277157388657	43	9	1	2021_Jun_16_1027	Motor	
0.0165	1	0.01485	0	n	n	0.9661853798425	44	9	1	2021_Jun_16_1027	Motor	
0.025	1	0.008500000000000006	0	n	n	0.7767444039418478	45	9	1	2021_Jun_16_1027	Motor	
0.0165	0	0.01485	90	n	x	0.7595448734909951	46	9	1	2021_Jun_16_1027	Motor	
